"source_file","interval","BuyVolume","SellVolume","VWAP","Return","PIN"
"1","2023-03-22",2350.98109,2475.17195,28092.0415582125,NA,0.0483143876273832
"1","2023-03-22 00:15:00",2096.22487,2183.48741,28093.6165105149,5.6064003007485e-05,0.0511439707003332
"1","2023-03-22 00:30:00",1473.45826,1793.1538,28009.8472624824,-0.00298178940404836,0.0581517282801275
"1","2023-03-22 00:45:00",974.3936,964.53494,28011.6934355267,6.59115712744881e-05,0.0740482153119835
"1","2023-03-22 01:00:00",1021.48598,1083.04668,28017.8834496366,0.000220979646381981,0.0713046838947984
"1","2023-03-22 01:15:00",798.66415,805.00567,28018.9405009305,3.77277354221206e-05,0.0807953729359596
"1","2023-03-22 01:30:00",1071.95515,1038.35102,28034.5813404089,0.00055822380142688,0.071209399171288
"1","2023-03-22 01:45:00",812.75514,799.10655,28077.1811297054,0.00151954433630729,0.0806077287822149
"1","2023-03-22 02:00:00",1028.40417,914.10005,28097.3178796191,0.000717192720330995,0.0740148125009981
"1","2023-03-22 02:15:00",681.88307,731.14592,28095.0328181768,-8.13266750966229e-05,0.0856103964711747
"1","2023-03-22 02:30:00",709.99663,702.33871,28086.1827941506,-0.000315003156731994,0.0856179128296696
"1","2023-03-22 02:45:00",576.43261,602.94219,28074.2225830167,-0.000425839681438304,0.0929098936942592
"1","2023-03-22 03:00:00",956.97459,982.09682,28079.5669808822,0.000190366726975562,0.0740469166086933
"1","2023-03-22 03:15:00",2067.21277,1717.02108,28206.2499576716,0.00451157159494887,0.0542568863074089
"1","2023-03-22 03:30:00",875.698,899.79883,28200.0599393031,-0.00021945555959533,0.0771126223299603
"1","2023-03-22 03:45:00",865.54764,855.31701,28170.9629342304,-0.00103180649740956,0.0782259521686565
"1","2023-03-22 04:00:00",600.81692,647.95783,28157.6861135146,-0.000471294529290034,0.0905498623644302
"1","2023-03-22 04:15:00",694.67804,695.02719,28164.8031670585,0.00025275704527498,0.0862490008303044
"1","2023-03-22 04:30:00",502.68893,534.81751,28163.8327891241,-3.44535670502259e-05,0
"1","2023-03-22 04:45:00",590.24865,571.77042,28183.636838118,0.000703173078116883,0.0935305566319012
"1","2023-03-22 05:00:00",558.46277,598.05941,28200.3213853779,0.000591994118991046,0.0937404701683364
"1","2023-03-22 05:15:00",1037.11169,796.18126,28232.7779744524,0.00115092975824265,0.0761364281143014
"1","2023-03-22 05:30:00",800.01731,791.18845,28247.8803208802,0.000534922438078475,0.0810844319817862
"1","2023-03-22 05:45:00",659.22768,738.76936,28211.6200539312,-0.00128364558816651,0.0860478511322603
"1","2023-03-22 06:00:00",773.39267,779.81913,28177.6352069174,-0.00120464003658189,0.081985132858648
"1","2023-03-22 06:15:00",641.49393,654.07064,28180.4253702272,9.90204922905232e-05,0.0890405971933694
"1","2023-03-22 06:30:00",770.89068,720.62622,28187.5210782592,0.000251795632562825,0.0835270017951879
"1","2023-03-22 06:45:00",621.75176,543.68868,28180.6029404626,-0.000245432642955905,0.0934515660169826
"1","2023-03-22 07:00:00",730.2042,775.11713,28206.2440345329,0.000909884509017597,0.0831743332085686
"1","2023-03-22 07:15:00",466.88517,464.59536,28198.4546109527,-0.000276159547177093,0
"1","2023-03-22 07:30:00",889.85703,1129.83453,28102.5847487726,-0.00339982681685407,0.0727863006368028
"1","2023-03-22 07:45:00",819.32636,881.27923,28094.4107003656,-0.000290864647507827,0.0786638416375934
"1","2023-03-22 08:00:00",948.00412,789.03501,28137.3969453123,0.00153006394778041,0.0779659557986221
"1","2023-03-22 08:15:00",427.81859,443.29116,28167.8539024082,0.00108243691323068,0.106405098583695
"1","2023-03-22 08:30:00",448.40767,476.58772,28157.4112999662,-0.000370727655652786,0.103608856365235
"1","2023-03-22 08:45:00",811.04273,947.85965,28097.8511897901,-0.0021152551824283,0.0774985534106309
"1","2023-03-22 09:00:00",795.82419,822.78678,28082.7475914982,-0.000537535706552445,0.080455617242732
"1","2023-03-22 09:15:00",643.28218,880.65472,28050.5969691589,-0.00114485316063102,0.0829334385032919
"1","2023-03-22 09:30:00",396.84944,403.16197,28110.0108067355,0.00211809529907398,0.110492255360926
"1","2023-03-22 09:45:00",466.03978,476.26475,28076.2648375967,-0.00120049648400293,0
"1","2023-03-22 10:00:00",463.28853,453.93089,28114.8910314627,0.00137575970626388,0.103989621224608
"1","2023-03-22 10:15:00",360.89393,388.17068,28106.0830912559,-0.000313283810949644,0.113762145725066
"1","2023-03-22 10:30:00",495.87328,511.39926,28120.6831370847,0.000519462131433047,0
"1","2023-03-22 10:45:00",488.41533,458.31586,28150.9208969765,0.00107528539560506,0
"1","2023-03-22 11:00:00",289.96193,331.6392,28162.7807064458,0.000421293836628721,0.123482918914723
"1","2023-03-22 11:15:00",301.62119,252.04277,28174.6632654043,0.000421924208494014,0.129885936769689
"1","2023-03-22 11:30:00",276.72899,332.38771,28158.565234898,-0.000571365497954515,0.124629962961153
"1","2023-03-22 11:45:00",314.79704,347.53658,28130.9829718999,-0.000979533678937371,0.120085365206903
"1","2023-03-22 12:00:00",612.4422,528.3622,28148.7132273954,0.000630275007214072,0.0943658787430183
"1","2023-03-22 12:15:00",943.64005,705.01249,28207.0016568484,0.00207073158130143,0.0799726430397737
"1","2023-03-22 12:30:00",449.50133,432.61795,28216.4729604867,0.000335778462154095,0.10581366708691
"1","2023-03-22 12:45:00",353.76087,396.15788,28219.697124482,0.000114265308770757,0.113728691008898
"1","2023-03-22 13:00:00",525.21772,452.40793,28199.1433267472,-0.000728349338551669,0
