timestamp,CMI10,
2023/5/4 05:30,3124.465507,0.004475491
2023/5/4 05:45,3118.598983,-0.001877609
2023/5/4 06:00,3130.360556,0.003771428
2023/5/4 06:15,3145.969809,0.004986407
2023/5/4 06:30,3143.729577,-0.000712096
2023/5/4 06:45,3138.789438,-0.001571426
2023/5/4 07:00,3137.820428,-0.000308721
2023/5/4 07:15,3132.076011,-0.001830703
2023/5/4 07:30,3121.829658,-0.003271425
2023/5/4 07:45,3130.435072,0.002756529
2023/5/4 08:00,3135.779665,0.0017073
2023/5/4 08:15,3131.207504,-0.001458062
2023/5/4 08:30,3127.184312,-0.001284869
2023/5/4 08:45,3131.869634,0.001498256
2023/5/4 09:00,3133.731446,0.000594473
2023/5/4 09:15,3125.003519,-0.002785155
2023/5/4 09:30,3128.540478,0.001131826
2023/5/4 09:45,3134.706013,0.001970738
2023/5/4 10:00,3131.930695,-0.000885352
2023/5/4 10:15,3131.42253,-0.000162253
2023/5/4 10:30,3128.001948,-0.001092341
2023/5/4 10:45,3133.645875,0.001804323
2023/5/4 11:00,3136.941326,0.001051635
2023/5/4 11:15,3134.078029,-0.000912767
2023/5/4 11:30,3131.520701,-0.000815975
2023/5/4 11:45,3137.383376,0.00187215
2023/5/4 12:00,3137.029522,-0.000112786
2023/5/4 12:15,3137.476463,0.000142473
2023/5/4 12:30,3137.198239,-8.86776E-05
2023/5/4 12:45,3137.686103,0.000155509
2023/5/4 13:00,3139.508349,0.000580761
2023/5/4 13:15,3139.062119,-0.000142134
2023/5/4 13:30,3142.327921,0.001040375
2023/5/4 13:45,3148.086874,0.001832703
2023/5/4 14:00,3141.299166,-0.002156137
2023/5/4 14:15,3139.33806,-0.000624298
2023/5/4 14:30,3140.467002,0.000359611
2023/5/4 14:45,3144.115023,0.001161617
2023/5/4 15:00,3138.976898,-0.001634204
2023/5/4 15:15,3136.778308,-0.000700416
2023/5/4 15:30,3134.583525,-0.000699693
2023/5/4 15:45,3132.884209,-0.000542119
2023/5/4 16:00,3126.436566,-0.002058053
2023/5/4 16:15,3135.601748,0.002931511
2023/5/4 16:30,3133.459403,-0.000683232
2023/5/4 16:45,3136.400958,0.000938756
2023/5/4 17:00,3135.207471,-0.000380528
2023/5/4 17:15,3132.4128,-0.000891383
2023/5/4 17:30,3131.938201,-0.000151512
2023/5/4 17:45,3136.498697,0.001456126
2023/5/4 18:00,3136.759256,8.30732E-05
2023/5/4 18:15,3144.27045,0.002394571
2023/5/4 18:30,3156.314365,0.003830432
2023/5/4 18:45,3152.938283,-0.001069628
2023/5/4 19:00,3155.12726,0.000694266
2023/5/4 19:15,3146.737816,-0.002658988
2023/5/4 19:30,3143.96468,-0.000881273
2023/5/4 19:45,3143.223306,-0.000235809
2023/5/4 20:00,3143.864909,0.000204123
2023/5/4 20:15,3146.825379,0.000941666
2023/5/4 20:30,3132.823198,-0.004449621
2023/5/4 20:45,3132.60932,-6.82701E-05
2023/5/4 21:00,3133.966222,0.000433154
2023/5/4 21:15,3114.509631,-0.006208296
2023/5/4 21:30,3095.462151,-0.006115724
2023/5/4 21:45,3101.862926,0.002067793
2023/5/4 22:00,3104.456266,0.000836059
2023/5/4 22:15,3111.853124,0.002382658
2023/5/4 22:30,3112.47136,0.000198671
2023/5/4 22:45,3104.05604,-0.002703742
2023/5/4 23:00,3118.258736,0.004575528
2023/5/4 23:15,3115.518521,-0.000878764
2023/5/4 23:30,3111.047679,-0.001435023
2023/5/4 23:45,3112.28406,0.000397416
