timestamp,CMI10
2024/5/2 17:00,6146.683726
2024/5/2 17:15,6142.103695
2024/5/2 17:30,6140.274589
2024/5/2 17:45,6148.116614
2024/5/2 18:00,6147.92361
2024/5/2 18:15,6136.609123
2024/5/2 18:30,6142.063234
2024/5/2 18:45,6149.962331
2024/5/2 19:00,6185.730906
2024/5/2 19:15,6203.198216
2024/5/2 19:30,6227.254691
2024/5/2 19:45,6229.818477
2024/5/2 20:00,6261.685996
2024/5/2 20:15,6244.515287
2024/5/2 20:30,6254.994469
2024/5/2 20:45,6227.773375
2024/5/2 21:00,6224.902255
2024/5/2 21:15,6245.50338
2024/5/2 21:30,6222.99757
2024/5/2 21:45,6215.170698
2024/5/2 22:00,6209.246744
2024/5/2 22:15,6237.356679
2024/5/2 22:30,6299.888016
2024/5/2 22:45,6279.285116
2024/5/2 23:00,6299.582893
2024/5/2 23:15,6310.935711
2024/5/2 23:30,6307.275337
2024/5/2 23:45,6300.054775
